# sample products file for CSCIE97 Assignments 3
#content_type, content_id, content_name, content_description, author, rating, categories, export_countries,supported_devices,price, supported_languages, image_url, application_size, ringtone_duration_in_seconds, wallpaper_pixel_width, wallpaper_pixel_height
application, angry_birds, Angry Birds, The survival of the Angry Birds is at stake. Dish out revenge on the greedy pigs who stole their eggs. Use the unique powers of each bird to destroy the pigs’ defenses. Angry Birds features challenging physics-based gameplay and hours of replay value. Each level requires logic\, skill\, and force to solve, Rovio, 5, game|kids,US|CA|MX,iphone_5|iphone_6|lumina_800,1.5,en_us|en_ca|en_gb, http://web-assets.angrybirds.com/abcom/img/games/223/Icon_download_seasons_223x223.png,564, , ,
application, angry_birds_seasons, Angry Birds Seasons, Angry Birds Seasons takes the captivating gameplay of the original to a whole new level! From Halloween to Chinese New Year\, the birds are celebrating different festive seasons around the world! , Rovio, 5, game|kids,US|CA|MX,iphone_5|iphone_6|lumina_800,1.5,en_us|en_ca|en_gb, http://web-assets.angrybirds.com/abcom/img/games/223/Icon_download_seasons_223x223.png,564, , ,
application, angry_birds_star_wars, Angry Birds Star Wars, A long time ago in a galaxy far\, far away... a group of desperate rebel birds faced off against a galactic menace: the Empire’s evil Pigtroopers!, Rovio, 5, game|kids,US|CA|MX,iphone_5|iphone_6|lumina_800,1.5,en_us|en_ca|en_gb, http://web-assets.angrybirds.com/abcom/img/games/223/Icon_download_seasons_223x223.png,564, , ,
ringtone, rt1, Ferrari 575M Maranello - 2002,This ringtone is a unique and exclusive recording of the 2002 Ferrari 575M Maranello being driven to its limits!,Nutbags,4,car|racing,US|CA|MX|AF|AL,lumina_800,0.0,en_us|en_ca|en_gb,http://p.d.ovi.com/p/g/store/1492679/_02_Ferrari_575M_Maranello-192x192.png, ,35.67, ,
application, Yahoo!_Sports, Yahoo! Sports, Get blazing fast live scores\, stats\, and standings personalized for your favorite leagues\, teams\, and players, Yahoo!, 5, sports|baseball|basketball|soccer,US|CA|MX,iphone_5|iphone_6|lumina_800,0.0,en_us|en_ca|en_gb, https://lh4.ggpht.com/MzcZpm3litAaHqfI4hZnz8Bv8PfTykIc9A_In0BjbQk2XPZFdLPuuzfpVw3ta9oGKEY=w300-rw,564, , ,
application, Score_Center, ScoreCenter, ESPN ScoreCenter brings you scores\, news and standings from sports leagues around the world. The new app makes it easier than ever to follow your favorite teams anytime\, anywhere. Stay up to date on the latest scores with personalized scoreboards and alerts. Follow the nation’s top stories with in-depth coverage and analysis., ESPN, 5, sports|baseball|basketball|soccer,US|CA|MX|FI|UK,iphone_5|iphone_6|lumina_800,0.0,en_us|en_ca|en_gb, https://lh3.ggpht.com/YPRbjg1sofJ0cjetFoVNZlx4oaNjkmnezWVoba-D9XxR1e2DKhHFgBbsx5xfooLIeSo=w300-rw,964, , ,
application, Cricket_WorldCup_Fever, Cricket WorldCup Fever, "Cricket WorldCup Fever" is the most complete cricket game for your Android Phone. Play with your favourite cricket national team in 4 exciting modes of play - "Quick Match"\, "PowerPlay" “World Cup” and the turn based styled "Pass-N-Play" modes., Indiagames Ltd., 5, sports|cricket|games,US|CA|MX|FI|UK|IN,iphone_5|iphone_6|lumina_800|htc_one,0.0,en_us|en_ca|en_gb, https://lh3.ggpht.com/3h_IfGL0aNWYGGGnYaBs8OhoK3yBUkyn2t7C2Hb-dSUP1rAKPBT_khEtaSgenkc2UBI=w300-rw,15000, , ,
application, Stick_Cricket_Premier_League, Stick Cricket Premier League, Your ticket to the bright lights of Premier League super stardom is here. From the creators of the most popular cricket game in the world., Stick Sports Ltd, 4, sports|cricket|games,US|UK|IN,iphone_5|iphone_6|lumina_800|htc_one,0.0,en_us|en_ca|en_gb, https://lh3.ggpht.com/nrgUEydCC3iFXFPwFLChDjL3t2V-3KpekM5oieQMPnMGqmYcEND-PGoQfIWPDoJc0A=w300-rw,5000, , ,
application, NPR_News, NPR News, Read\, listen\, or create a playlist of your favorite NPR stories and share with friends., NPR , 5, news|magazines,US|UK|IN,iphone_5|iphone_6|lumina_800|htc_one,0.0,en_us|en_ca|en_gb, https://lh4.ggpht.com/AnC8LtJK3CzWLuMrVee3FMgNrGcKXDPjtygeNfkLmV078Tu5C9L_bxcR0tEnnluu_e8=w300-rw,5000, , ,
application, BBC_News, BBC News, Get the latest world and regional news from the BBC’s global network of more than 2000 journalists., BBC , 5, news|magazines,US|UK|IN,iphone_5|iphone_6|lumina_800|htc_one,0.0,en_us|en_ca|en_gb, https://lh5.ggpht.com/vnMqeTk8u86eSw3k70I_ALnAmeh1mQnun14Jr5kPirI5Wh7wKYrqU4Om71TLz3l3ur_K=w300-rw,5000, , ,
wallpaper, HD_Wallpapers_for_Android , HD Wallpapers for Android,Qualitative and convenient for application of HD Wallpaper for Android.,PowerAPP,4,personalization,US|CA|IN|FI,  iphone_5|iphone_6|lumina_800|htc_one,0.0,en_us|en_ca|en_gb,https://lh5.ggpht.com/GSvdQwJSpVoPyZJIOUTWpgOx9reGKehLnj6Id0Ld0pq1yfAEiGAOkUm2Eu7H8vr-1A=w300-rw, , ,256,256
# French-Canadian version of Zynga Poker - language code is "fr-CA";
application,zynga_poker_French_Canadian,Zynga Poker,Zynga Poker, Zynga,4, game|poker|gambling|casino,CA,droid_x|iphone_5|iphone_6,0,fr-CA,http://company.zynga.com/nfs/files-0123-01/styles/featured_game_hero_large/public/featured-games-380-226-zp-game-board-01.png?itok=w2YdRcRD,314, , ,
# French-Canadian wallpaper of Zynga Poker - language code is "fr-CA";
